,keyed_name,id,created_on,created_by_id,owned_by_id,managed_by_id,modified_on,modified_by_id,current_state,locked_by_id,is_current,minor_rev,is_released,not_lockable,css,generation,new_version,config_id,permission_id,release_date,effective_date,team_id,cost,cost_basis,description,external_id,external_owner,external_type,has_change_pending,make_buy,name,thumbnail,unit,weight,weight_basis,item_number,classification,major_rev,state,superseded_date,control_type,indexed_on
10,MP2799,09D0A3F880C34176992D9DDAE11C56F4,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,09D0A3F880C34176992D9DDAE11C56F4,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,5.35,Actual,,,,,0,Buy,Shaft 8mm x 424mm composite material,,EA,,,MP2799,Component,A,Released,,Serial,
11,MP2381,09D925EEE1614683BEDF9F2FEF996B23,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,09D925EEE1614683BEDF9F2FEF996B23,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,4.15,Actual,,,SofTech.Mechanical.SolidWorks,,0,Make,Shaft 8mm x 300mm,vault:///?fileId=022E965CD62442148FB15C5223DD220F,EA,,,MP2381,Component,C,Released,,Serial,
12,P23124,0AA2116918164EC1BE1467AF26900901,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,72A2322564FE4193933CFB5339487A06,,1,,0,0,,1,0,0AA2116918164EC1BE1467AF26900901,5C07EB829D4241F6BB884952960FAF58,,,,,,,,,,0,Make,Mount Assembly,,EA,,,P23124,Phantom,A,Preliminary,,Serial,
13,MP0102,0AA62AED57B44C638A83F30D6F4AD77F,2017-11-11 22:03:00.000,18DF23B3851D4C9FA1B96E9CF1F585A8,,,2018-01-24 07:40:00.000,18DF23B3851D4C9FA1B96E9CF1F585A8,72A2322564FE4193933CFB5339487A06,,1,,0,0,,2,0,0AA62AED57B44C638A83F30D6F4AD77F,5C07EB829D4241F6BB884952960FAF58,,,,38.495,Calculated,"The MakerBot Replicator by MakerBot. Published on March 12, 2012. www.thingiverse.com/thing:18813",,,,1,Make,Cover Option for MakerBot Replicator,vault:///?fileId=1A047FA1530E403AAE40F3654C11FA18,EA,,,MP0102,Assembly,A,Preliminary,,Serial,
14,MP0370-010,0C49B8A7882F4590BBDABCBD92B92381,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2021-03-15 20:57:13.710,AD30A6D8D3B642F5A2AFED1A4B02BEFA,72A2322564FE4193933CFB5339487A06,,1,,0,0,,1,0,0C49B8A7882F4590BBDABCBD92B92381,5C07EB829D4241F6BB884952960FAF58,,,,0.08,Actual,,,SofTech.Mechanical.SolidWorks,,0,Buy,M3X12 Socket Cap Bolt,vault:///?fileId=A00C05CE046042FC96B1871FCC604585,EA,,,MP0370-010,Component,A,Preliminary,,Serial,
15,MP2467,0DA543DA8B5947DE99F54B39E6AC2357,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-10 16:56:00.000,18DF23B3851D4C9FA1B96E9CF1F585A8,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,0DA543DA8B5947DE99F54B39E6AC2357,95475AE006E7415794BDC93808DC04D2,2017-11-10 16:56:00.000,2017-11-10 16:56:00.000,,0.01,Actual,,,SofTech.Mechanical.SolidWorks,,0,Make,1-2 inch Wire Wrap,vault:///?fileId=5A0EBBBB62D84AFBA7B2A8D08EFC5A53,EA,,,MP2467,Component,B,Released,,Serial,
16,MP3544,0E41EABB155B4380A95A661780B839D8,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,0E41EABB155B4380A95A661780B839D8,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,0.419,Actual,Resistor SMT 270ohm 1% 1W,,,,0,Buy,Resistor .27K,,EA,,,MP3544,Component,A,Released,,Serial,
17,MP2960,0EDAA4188E4C4BA981FD4518B5C5DDAD,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,0EDAA4188E4C4BA981FD4518B5C5DDAD,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,,,,,SofTech.Mechanical.SolidWorks,,0,Make,Storage Assembly,vault:///?fileId=9A7B718D92BA4E60904442DD22A1C08A,EA,,,MP2960,Assembly,A,Released,,Serial,
18,MP1707,10A19507C6B14AE7A74812358C7B6130,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,10A19507C6B14AE7A74812358C7B6130,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,6.0,Actual,,,SofTech.Mechanical.SolidWorks,,0,Make,MK7 Plunger,vault:///?fileId=3F6E1CD07FC840378E2FB9ABBAAD9340,EA,,,MP1707,Component,D,Released,,Serial,
19,MP3729,11008876C178491981B93101A1D5FD22,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2018-01-24 07:00:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,BE7478E822444326A2EC9F1E11A88963,,0,,1,0,,1,0,11008876C178491981B93101A1D5FD22,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,1.71,Actual,LCD Backlight white,,,,1,Buy,LCD Backlight white,,EA,,,MP3729,Component,A,In Change,,Serial,
20,MP2337,11BB52561B524B27A3970BC7188C6854,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,11BB52561B524B27A3970BC7188C6854,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,7.75,Actual,,,SofTech.Mechanical.SolidWorks,,0,Make,Thing-O-Matic 2 Bottom Wooden Build Platform,vault:///?fileId=456A2FA8D34E40C8908555D86A6BCAE7,EA,,,MP2337,Component,D,Released,,Serial,
21,MP2453,1213E2030EBD4FE58316993FD42D74A7,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,1213E2030EBD4FE58316993FD42D74A7,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,25.5,Actual,,,SofTech.Mechanical.SolidWorks,,0,Buy,Thing-O-Matic 2 Radial Ball Bearings,vault:///?fileId=056332723DCB4391B2BB8605698B49C8,EA,,,MP2453,Component,A,Released,,Serial,
22,MP3701,125E900B5D6149DA9BA02BA7783C68BD,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,125E900B5D6149DA9BA02BA7783C68BD,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,0.04,Actual,CAP805 Multi-layer ceramic chip capacitor,,,,0,Buy,Capacitor 100nF,,EA,,,MP3701,Component,A,Released,,Serial,
23,MP1709,1398E942DAB948BAA7E0FAEAE04BA921,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,1398E942DAB948BAA7E0FAEAE04BA921,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,0.25,Actual,,,SofTech.Mechanical.SolidWorks,,0,Make,M3x3mm Set Screw,vault:///?fileId=49959635C01841188A2B8A9059A63B7A,EA,,,MP1709,Component,B,Released,,Serial,
24,MP4000,1401D65E16044B09A0FD36E123BC8003,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,72A2322564FE4193933CFB5339487A06,,1,,0,0,,1,0,1401D65E16044B09A0FD36E123BC8003,5C07EB829D4241F6BB884952960FAF58,,,,,,,,SofTech.Mechanical.SolidWorks,,0,Make,Filament,,EA,,,MP4000,Component,A,Preliminary,,Serial,
25,MP2988,14F871DA13A340F2866D2AD639D5B79A,2017-12-03 20:35:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-12-03 20:35:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,72A2322564FE4193933CFB5339487A06,,1,,0,0,,2,0,14F871DA13A340F2866D2AD639D5B79A,5C07EB829D4241F6BB884952960FAF58,,,,114.0,Actual,,,SofTech.Mechanical.SolidWorks,,0,Make,Makerbot MightyBoard Software,,EA,,,MP2988,Software,A,Preliminary,,Serial,
26,MP3392,1527A8A174214EF9984E886630C89CDA,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,1527A8A174214EF9984E886630C89CDA,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,0.02,Actual,Chip tantalum capacitors (Bottom surface electrode type : Large capacitance) TCT Series PL Case,,,,0,Buy,Capacitor 47uF,,EA,,,MP3392,Component,A,Released,,Serial,
27,MP2934,1528F70C8EEA4FB0B682D1C10B642FF9,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,72A2322564FE4193933CFB5339487A06,,1,,0,0,,1,0,1528F70C8EEA4FB0B682D1C10B642FF9,5C07EB829D4241F6BB884952960FAF58,,,,,,,,SofTech.Mechanical.SolidWorks,,0,Make,Filament Heavy Duta Spool Holder,vault:///?fileId=823342CC6A644508AF3A9A815F866FF0,EA,,,MP2934,Component,A,Preliminary,,Serial,
28,MP3887,155C8C64CADE4900B47488484A45B032,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,155C8C64CADE4900B47488484A45B032,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,0.26,Actual,Resistor 12K 1% 1/16W,,,,0,Buy,Resistor 12K,,EA,,,MP3887,Component,A,Released,,Serial,
29,MP2340,18600EFF66564595B3545D5638E6E446,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-10 16:56:00.000,18DF23B3851D4C9FA1B96E9CF1F585A8,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,18600EFF66564595B3545D5638E6E446,95475AE006E7415794BDC93808DC04D2,2017-11-10 16:56:00.000,2017-11-10 16:56:00.000,,0.88,Actual,,,SofTech.Mechanical.SolidWorks,,0,Make,"Dowel Pin 5 32 inch OD, 1 inch length",vault:///?fileId=882ED5D16B1245B28680B0DCED4B3340,EA,,,MP2340,Component,A,Released,,Serial,
30,MP2753,1906C46491C0445889D8A828248EF1F8,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-10 16:56:00.000,18DF23B3851D4C9FA1B96E9CF1F585A8,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,2,0,1906C46491C0445889D8A828248EF1F8,95475AE006E7415794BDC93808DC04D2,2017-11-10 16:56:00.000,2017-11-10 16:56:00.000,,5.29,Actual,,,SofTech.Mechanical.SolidWorks,,0,Make,Shaft 8mm x 424mm,vault:///?fileId=0F155FEFE77A48EAAAAFE2DDF31E62E2,EA,,,MP2753,Component,B,Released,,Serial,
31,MP0370-005,197ED5180918430CB338B48C97A118CB,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2021-03-15 20:57:13.430,AD30A6D8D3B642F5A2AFED1A4B02BEFA,72A2322564FE4193933CFB5339487A06,,1,,0,0,,1,0,197ED5180918430CB338B48C97A118CB,5C07EB829D4241F6BB884952960FAF58,,,,0.11,Actual,,,SofTech.Mechanical.SolidWorks,,0,Buy,M3X20 Socket Cap Bolt,vault:///?fileId=A00C05CE046042FC96B1871FCC604585,EA,,,MP0370-005,Component,A,Preliminary,,Serial,
32,MP3868,1995FDAE00EE4D88AC762AA1BF404075,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,1995FDAE00EE4D88AC762AA1BF404075,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,0.62,Actual,"Base strip - MSTBV 2,5/ 4-GF-5,08 BEIGE - 1911350",,,,0,Buy,Terminal block x4,,EA,,,MP3868,Component,A,Released,,Serial,
33,MP0979,1A8DD513009C47789DCB8BDF9937DA4A,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,1A8DD513009C47789DCB8BDF9937DA4A,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,1.8,Actual,,,SofTech.Mechanical.SolidWorks,,0,Make,Mechanical Endstop,vault:///?fileId=3E47B11E8A834FB596FC769C4E72ADA7,EA,,,MP0979,Component,D,Released,,Serial,
34,MP2950,1AD8E9CD891D417685168555202E051B,2017-11-11 22:03:00.000,18DF23B3851D4C9FA1B96E9CF1F585A8,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,2,0,1AD8E9CD891D417685168555202E051B,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,4.74,Actual,,,,,0,Make,Cover Top,vault:///?fileId=512E10E59E784CE9BB7183CF663587E2,EA,,,MP2950,Component,C,Released,,Serial,
35,MP2584,1BE702134FE64333B4DD1F33DF464BB2,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-10 16:56:00.000,18DF23B3851D4C9FA1B96E9CF1F585A8,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,1BE702134FE64333B4DD1F33DF464BB2,95475AE006E7415794BDC93808DC04D2,2017-11-10 16:56:00.000,2017-11-10 16:56:00.000,,9.5,Actual,,,SofTech.Mechanical.SolidWorks,,0,Make,PTFE Tubing 14in OD 18in ID,vault:///?fileId=4590EEDBC5444B838E30687C9FF0CB1D,EA,,,MP2584,Component,A,Released,,Serial,
36,MP2583,1C8EEDC07A6345EC8B07F9031AEDDA46,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,1C8EEDC07A6345EC8B07F9031AEDDA46,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,2.02,Actual,,,SofTech.Mechanical.SolidWorks,,0,Make,Foot Edge Neoprene,vault:///?fileId=73EB3AEA941D4B85ACB2B82A15E7A4B5,EA,,,MP2583,Component,A,Released,,Serial,
37,MP2256,1D60FBC213AC49769AA953FA28EAFD43,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,1D60FBC213AC49769AA953FA28EAFD43,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,4.95,Actual,,,SofTech.Mechanical.SolidWorks,,0,Make,Silicone Keypad,vault:///?fileId=552A656C75BF477F9E40FA47DBA8C03C,EA,,,MP2256,Component,C,Released,,Serial,
38,MP1915,1E15DD3CFE944908830A07E6174648F2,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,3,0,1E15DD3CFE944908830A07E6174648F2,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,0.09,Actual,,,SofTech.Mechanical.SolidWorks,,0,Make,O ring .14in ID .246in OD,vault:///?fileId=D3EDA142720D490EB4B5C4BFC8451EFE,EA,,,MP1915,Component,A,Released,,Serial,
39,MP1913-005,1E46FC1E194E4124873FF9B30101D762,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2021-03-15 20:57:12.200,AD30A6D8D3B642F5A2AFED1A4B02BEFA,72A2322564FE4193933CFB5339487A06,,1,,0,0,,1,0,1E46FC1E194E4124873FF9B30101D762,5C07EB829D4241F6BB884952960FAF58,,,,0.11,Actual,,,SofTech.Mechanical.SolidWorks,,0,Buy,M3x20 Flat Head Socket Bolt,vault:///?fileId=F882607C443C4CAAB77F5B05281C45E2,EA,,,MP1913-005,Component,A,Preliminary,,Serial,
40,MP3529,1F343F6E90B342109E01B3DBD26A1A98,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,1F343F6E90B342109E01B3DBD26A1A98,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,1.78,Actual,MICRO BUZZER 5V DC / 20mA PCB TYPE - SEALED,,,,0,Buy,Piezo Buzzer,,EA,,,MP3529,Component,A,Released,,Serial,
41,MP2827,20D920CAC7854A5EB3BC6FA8B5B5B4EE,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,20D920CAC7854A5EB3BC6FA8B5B5B4EE,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,0.1,Actual,,,SofTech.Mechanical.SolidWorks,,0,Buy,Nylon 440 screw,vault:///?fileId=9878717904A64BC99FC00ADA3F382F55,EA,,,MP2827,Component,A,Released,,Serial,
42,MP0370-004,244A8D77406E413A8D2BDC21558327CB,2017-10-14 14:08:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-11-07 18:37:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,42BB3B183A7748C3B4AA9D33F7BF70AC,,1,,1,0,,1,0,244A8D77406E413A8D2BDC21558327CB,95475AE006E7415794BDC93808DC04D2,2017-11-07 18:37:00.000,2017-11-07 18:37:00.000,,0.08,Actual,,,SofTech.Mechanical.SolidWorks,,0,Buy,M3x16 Socket Cap Bolt,vault:///?fileId=A00C05CE046042FC96B1871FCC604585,EA,,,MP0370-004,Component,A,Released,,Serial,
