,keyed_name,id,is_current,minor_rev,is_released,not_lockable,css,new_version,config_id,permission_id,release_date,effective_date,team_id,authoring_tool,authoring_tool_version,description,external_id,external_owner,external_type,has_change_pending,is_standard,is_template,monolithic_model_file,name,native_file,thumbnail,view_file,viewable_file,x_max,x_min,y_max,y_min,z_max,z_min,item_number,classification,created_by_id,created_on,current_state,generation,locked_by_id,major_rev,managed_by_id,modified_by_id,modified_on,owned_by_id,state,superseded_date,from_template,dynamic_enabled,indexed_on
10,MP0103-D,138C9F38731C44F49683A1DFE56C5C6E,1,,0,0,,1,138C9F38731C44F49683A1DFE56C5C6E,EA3ED7E7391542D7A17AF2F42B5274ED,,,,SolidWorks,sw2014_SP03,,MP0103.SLDDRW,SofTech.Mechanical.SolidWorks,solidworks_drawing,0,0,0,,MakerBot Replicator with Cover Drawing,6245063C166C4332B6E18990F0DD3E1C,vault:///?fileId=AF31D91B91CC418685CC7330EF61EE3E,,0A3A8B8C5AA34A0A87D5B2142CD92E04,,,,,,,MP0103-D,Mechanical/Drawing,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-12-01 19:00:00.000,A29C9720FF0D4950A140A90BEEA903DA,1,,A,,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-12-01 19:00:00.000,,Preliminary,,,0,
11,MP2459,139979877AFE4DA5A9D65657FC3B0BFD,1,,1,0,,1,139979877AFE4DA5A9D65657FC3B0BFD,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2459.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,M3 Thumb Nuts,B3989A56AC5F45978A406A96E1799D75,vault:///?fileId=49C70D328EAF4D58B6CA1F0BF26AB62F,0AC98E44EB894CEC90CB3220E53423BF,E5CD53496E6F49D7897DA1A3A1FC8CAB,,,,,,,MP2459,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,B,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
12,MP2196,144FC854061C4A51B771D929AAFCD125,1,,1,0,,1,144FC854061C4A51B771D929AAFCD125,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2196.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,Thing-O-Matic 2 Back Panel,D91D3B3DDBFD453F8CC4BB6617A61B39,vault:///?fileId=18F7A9F2F9F44B568AF916B4E1B4FE93,6E5462A769544A749223474FE757500C,E790922303B7448F810F285C48293042,,,,,,,MP2196,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,A,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
13,MP2961,14A29A57A2804EAFA697D8C6AF5D58FD,1,,1,0,,1,14A29A57A2804EAFA697D8C6AF5D58FD,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2961.sldasm,SofTech.Mechanical.SolidWorks,solidworks_assembly,0,0,0,,Shipping,1344DE9B5E204BE2A1C7276FCFB11107,vault:///?fileId=D98938230DD44DDFAE8DBF3CC8906746,04EE0F3BA0F64570A1436BD99363E8E9,F083B7AE63634DEE9309C60271CD3083,,,,,,,MP2961,Mechanical/Assembly,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,A,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,1,
14,MP2378,14F50447C32C45C0BDAC1CA932E3326B,1,,1,0,,1,14F50447C32C45C0BDAC1CA932E3326B,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2378.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,Thing-O-Matic 2 Inner Back Panel,8615BB0BF42541A8BDCB10F4924AB735,vault:///?fileId=94FF49512FD04B7E8163AD5A6BDBBB46,7501D0CCD8574787B5F2C270E412D5F8,D27A6837A096437395124874FFDCB051,,,,,,,MP2378,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,A,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
15,MP2691,151ED6B879E64164A493E98DCEA8DC0F,1,,1,0,,1,151ED6B879E64164A493E98DCEA8DC0F,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2691.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,0.355 46thick 3.175mm ID 7.95mm OD Washer,1703AAC7E5BE46258365392B76AD63A9,vault:///?fileId=8A15B2C7A76042CDAC8C73B769BF8989,AE6000C198D94001BC8A34DDAEE766C0,79442922D9E748B99A679B717F83080F,,,,,,,MP2691,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,C,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
16,MP0101-D,1562ED62738347EE8C5830708ADAEC3E,0,,1,0,,1,1562ED62738347EE8C5830708ADAEC3E,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP0101.SLDDRW,SofTech.Mechanical.SolidWorks,solidworks_drawing,1,0,0,,MakerBot Replicator Drawing,358BCF84623841BA9A29444B7110AC48,vault:///?fileId=2E391BEB83284D1BA6D8305D73583EEF,,4C4262DE07B545738E325A72E5B4518D,,,,,,,MP0101-D,Mechanical/Drawing,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,19853E4D3985483B93BBFCCE7052E38B,1,,A,,18DF23B3851D4C9FA1B96E9CF1F585A8,2018-01-24 07:40:00.000,,In Change,,,0,
17,MP1782,161E3EEEAC61474A8F9E289BF2918CD6,1,,1,0,,1,161E3EEEAC61474A8F9E289BF2918CD6,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP1782.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,Kapton Tape 120mm,C1EDDB632FC747D4AC096A53BEA2291D,vault:///?fileId=5732C4177324444BBB37EF74569A4219,C5D39E1DDF7640CDA0BAC58982AC63DD,58C3E84DB40A43E78BCF12A8C4567374,,,,,,,MP1782,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,B,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
18,MP2960,17C7BD4B711A49E3B17D677BAA91F902,1,,1,0,,1,17C7BD4B711A49E3B17D677BAA91F902,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2960.sldprt,SofTech.Mechanical.SolidWorks,solidworks_assembly,0,0,0,,Storage Assembly,4ACACA5D2CBE4775994491B61C0E6C30,vault:///?fileId=9A7B718D92BA4E60904442DD22A1C08A,CE12091E449E4ACAB2773E358FB9CE5F,972B5AE716964E1B8095E69C2BE3B081,,,,,,,MP2960,Mechanical/Part,0F6BD6E53E9749CA9B1A2A648D741A5A,2017-10-17 12:36:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,A,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
19,MP2347,1839777432E74DCEBA6B695BB61C19F9,1,,1,0,,1,1839777432E74DCEBA6B695BB61C19F9,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2347.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,Fan 24V 40x40x10 1m leads,9185427A10AE40D8BBE032971CE76319,vault:///?fileId=773E36DA99B6424BA1437FFB6030B10F,20EF4C09CE9748329559AD741B08932B,BFAF92B697B946CB8EDF1BBC43B68DCE,,,,,,,MP2347,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,B,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
20,MP2943-D,18793CEAC40B4DE69386786508DD9662,1,,1,0,,1,18793CEAC40B4DE69386786508DD9662,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2943.SLDDRW,SofTech.Mechanical.SolidWorks,solidworks_drawing,0,0,0,,Build Platform Drawing,40B002B8C510400F9A49702CB78BD415,vault:///?fileId=4C03B1E547F5480180DA7C89BBD6EAD2,,541F45328CB94313AE578D3538DE0B4D,,,,,,,MP2943-D,Mechanical/Drawing,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,A,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
21,MP1532,19F10AD08DCA49ADB9AF9DB20299D389,1,,1,0,,1,19F10AD08DCA49ADB9AF9DB20299D389,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP1532.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,ABS Natural 1kg Spool 1.75mm,571C5770EADB43B69AE44361DE592C4F,vault:///?fileId=36EC3333B49F48478C9E5ACEEB5FA902,B2607EA906D7426A8E4D6CEF780117B9,5BBF2FE4AF5F48AE9EE398015B0B1027,,,,,,,MP1532,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,B,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
22,MP2934,1A094B854AAD4708B29F440D500AA8B1,1,,0,0,,1,1A094B854AAD4708B29F440D500AA8B1,EA3ED7E7391542D7A17AF2F42B5274ED,,,,SolidWorks,sw2014_SP03,,MP2934.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,Filament Heavy Duty Spool Holder,E5B67B56BC5F438FAB70251F13106D01,vault:///?fileId=ECE136EE8F45416DB4480C419E7F2BE2,1D2A41C3D46B4629981D3664EF70715E,C299CCB83BF24794B6DD509E53593976,,,,,,,MP2934,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,A29C9720FF0D4950A140A90BEEA903DA,1,,A,,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,,Preliminary,,,0,
23,MP2666,1A27F11E0DD847D78E1B01564D8359D3,1,,1,0,,1,1A27F11E0DD847D78E1B01564D8359D3,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2666.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,Spacer Black 11-16 in length 5mm ID 7mm OD,774C9C1916CC4989ADDFB4EB3413DC3A,vault:///?fileId=0FC69111EE9B4CEA9200A6992DFCFCC9,C7D7F72734EE448B96AF6CE326D0B3ED,46170A70D59A4A7FB310260CF6D80333,,,,,,,MP2666,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,A,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
24,MP0546,1B3C62E271B54A4BA58761AF98648AB4,1,,1,0,,1,1B3C62E271B54A4BA58761AF98648AB4,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP0546.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,M6 Nut Thin,D272574CA86E49069FD2AD1CEA30A933,vault:///?fileId=553E9AF0E2134475840C0F79347D8977,1EA37969D2AE43C4BAB26EE611F98FAB,6E0006DE2BA249AC9B4DDCB6C4819169,,,,,,,MP0546,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,A,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
25,MP1994,1C0D2783B8D34DD594105A6B211D4905,1,,1,0,,1,1C0D2783B8D34DD594105A6B211D4905,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP1994.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,MK7 Drive Gear,85F71724398C471DA4A89301AC8C5A90,vault:///?fileId=DCC9082DF8404372B75FD19651300382,970F22F9E81B4D40BB54EF32ED77E89F,CEE696AE0892404190F2F82E371B8019,,,,,,,MP1994,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,B,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
26,MP2375,21BD8D07625F428CA86B58AC02CF5ECA,1,,1,0,,1,21BD8D07625F428CA86B58AC02CF5ECA,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2375.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,Thing-O-Matic 2 Cut Rod Guide Ring,70D9A6051DE04DA498B9C3288BDC7AA2,vault:///?fileId=E7E45F376B1D486C8F8A57AFCA6C00FB,C450210E66294207A4D8E625C5BB420F,B3971DE1B4B04062909EB4175BAE259C,,,,,,,MP2375,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,B,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
27,MP2968,2283EECED44D4B45A8BEC0D1FE6D794E,1,,1,0,,1,2283EECED44D4B45A8BEC0D1FE6D794E,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2968.sldasm,SofTech.Mechanical.SolidWorks,solidworks_assembly,0,0,0,,XY Stage,E54DB7B2035345B6AEAD07BDC99F2F25,vault:///?fileId=3DD4D703469B4393B1B8A5E1A07216F0,2F7B40372D8A4789B0D103F8657813E9,F864AA9888E44C3984FEE01088EC17A1,,,,,,,MP2968,Mechanical/Assembly,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,A,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,1,
28,MP2954-D,24005F7822634762A73612F536ACE13B,0,,1,0,,1,24005F7822634762A73612F536ACE13B,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2954.SLDDRW,SofTech.Mechanical.SolidWorks,solidworks_drawing,1,0,0,,Extruder Drawing,F5E428C0A62C4B45A5B84DF92C9A942B,vault:///?fileId=E625D3F9E0394D3DBA7BFE854534B90B,,B64094CA79FD46DF803379965DEB726C,,,,,,,MP2954-D,Mechanical/Drawing,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,19853E4D3985483B93BBFCCE7052E38B,1,,A,,E8DA8A7D08BF43B99B55465B5C4AC3BE,2018-01-24 07:40:00.000,,In Change,,,0,
29,MP2665,25B3960880004E1A8B9BED083E9A8C8A,1,,1,0,,1,25B3960880004E1A8B9BED083E9A8C8A,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2665.SLDPRT,SofTech.Mechanical.SolidWorks,solidworks_part,0,0,0,,Spacer Black 1-16 in length 5mm ID 7mm OD,B0CE3A4D41034FF99C3D9A2CB84FE3F9,vault:///?fileId=5A1E87DB8DF24B6A8B05C6A3BC74F22F,2959F7A3758049D9AE89738CD7D35558,E18BABED25C240BEAD89C33F9EB740AF,,,,,,,MP2665,Mechanical/Part,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,B,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
30,MP2943,277D27AE040B4A3F9F7EB4C9592DABF0,1,,1,0,,1,277D27AE040B4A3F9F7EB4C9592DABF0,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,SolidWorks,sw2014_SP03,,MP2943.sldasm,SofTech.Mechanical.SolidWorks,solidworks_assembly,0,0,0,,Build Platform,0B9A548861E1428DAEDDDDCA1ACC4C1A,vault:///?fileId=E524FCDA79CA4FBD9247F5B641A4DB4E,2DBB8CA174B54DF7BE0E394676B17A4A,E5B64573A147465B8AEFF57B72451107,,,,,,,MP2943,Mechanical/Assembly,E8DA8A7D08BF43B99B55465B5C4AC3BE,2017-10-14 14:08:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,A,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,1,
31,MP2343 Assembly,28ADA1490E144D78AFC0522CB3F55982,1,,1,0,,1,28ADA1490E144D78AFC0522CB3F55982,BADFEE81D2844845BDDAEA8CB663281E,2017-10-29 13:55:00.000,2017-10-29 13:55:00.000,,Altium Designer,14.3.5,Assembly files container,,,,0,0,0,,Botstep 17 Assembly,,vault:///?fileId=36D2D3003D244168A29050959D282469,,,,,,,,,MP2343 Assembly,Electronic/Assembly,0F6BD6E53E9749CA9B1A2A648D741A5A,2017-10-17 12:36:00.000,9EB3760DC37E4950BDB908906433FFE8,1,,E,,18DF23B3851D4C9FA1B96E9CF1F585A8,2017-10-29 13:55:00.000,,Released,,,0,
